,rxns_added
0,DHAD1m: 23dhmb_m --> 3mob_m + h2o_m
1,PPND: nad_c + pphn_c --> 34hpp_c + co2_c + nadh_c
2,TRPS1: 3ig3p_c + ser__L_c --> g3p_c + h2o_c + trp__L_c
3,IGPS: 2cpr5p_c + h_c --> 3ig3p_c + co2_c + h2o_c
4,DDPA: e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c
5,ACOAD1z: b2coa_c + fdxo_42_c + 2.0 nadh_c --> btcoa_c + fdxr_42_c + 2.0 nad_c
6,LDHm: lac__D_m + nad_m --> h_m + nadh_m + pyr_m
7,CO2tmt: co2_m <=> co2_c
8,FDMO2: fmnh2_c + mso3_c + o2_c --> fald_c + fmn_c + h2o_c + h_c + so3_c
9,ALDD1: fald_c + h2o_c + nad_c --> for_c + 2.0 h_c + nadh_c
10,DDPGAm: 4h2oglt_m --> glx_m + pyr_m
11,CBMKr: atp_c + co2_c + nh4_c --> adp_c + cbp_c + 2.0 h_c
12,LALGP: LalaLglu_c + h2o_c --> ala__L_c + glu__L_c
13,CHORM: chor_c --> pphn_c
14,ARTCOAL1: Rtotal_c + coa_c --> Rtotalcoa_c
15,FDH7: co2_c + fdxr_42_c + h_c --> fdxo_42_c + for_c
16,PRAIi: pran_c --> 2cpr5p_c
17,ALCD19y: glyald_c + h_c + nadph_c <=> glyc_c + nadp_c
18,ALAGLUE: LalaDglu_c --> LalaLglu_c
19,ACOAD2: h_c + hx2coa_c + nadh_c --> hxcoa_c + nad_c
20,KARA1im: alac__S_m + h_m + nadph_m --> 23dhmb_m + nadp_m
21,PSERT: 3php_c + glu__L_c --> akg_c + pser__L_c
22,HPROym: 4hpro_LT_m + nadp_m --> 1p3h5c_m + 2.0 h_m + nadph_m
23,CYSLY3: cys__L_c + h_c + nadph_c --> ala__L_c + h2s_c + nadp_c
24,FACOAE160: h2o_c + pmtcoa_c --> coa_c + h_c + hdca_c
25,LEUtec: leu__L_e --> leu__L_c
26,FACOAE180: h2o_c + stcoa_c --> coa_c + h_c + ocdca_c
27,ARGSL: argsuc_c --> arg__L_c + fum_c
28,araphe2: 3mop_c + phe__L_c --> ile__L_c + phpyr_c
29,LADGMDH: LalaDgluMdap_c + h2o_c --> 26dap__M_c + LalaDglu_c
30,PSCVT: pep_c + skm5p_c <=> 3psme_c + pi_c
31,EX_leu__L_e: leu__L_e <=> 
32,H2Ot: h2o_e <=> h2o_c
33,NTRIR2y: 5.0 h_c + 3.0 nadph_c + no2_c --> 2.0 h2o_c + 3.0 nadp_c + nh4_c
34,3MOBtmt: 3mob_m <=> 3mob_c
35,EX_his__L_e: his__L_e <=> 
36,DHQS: 2dda7p_c --> 3dhq_c + pi_c
37,lipid1: Rtotal_c <=> dca_c + ddca_c + hdca_c + hdcea_c + hxa_c + ocdca_c + ocdcea_c + octa_c + ttdca_c + ttdcea_c
38,PYRtm: pyr_c --> pyr_m
39,EX_thr__L_e: thr__L_e <=> 
40,PSP_L: h2o_c + pser__L_c --> pi_c + ser__L_c
41,OCT: cbp_c + orn_c --> citr__L_c + pi_c
42,ORNt: orn_e --> orn_c
43,HIStiDF: his__L_e --> his__L_c
44,GMPR: gmp_c + 2.0 h_c + nadph_c --> imp_c + nadp_c + nh4_c
45,ACHBS: 2obut_c + h_c + pyr_c --> 2ahbut_c + co2_c
46,r0686: 1p3h5c_m + 2.0 h2o_m + nadp_m --> e4hglu_m + h_m + nadph_m
47,ASPtmt: asp__L_m <=> asp__L_c
48,r2534: thr__L_e --> thr__L_c
49,VPAMTr: 3mob_c + ala__L_c --> pyr_c + val__L_c
50,FACOAE141: h2o_c + tdecoa_c --> coa_c + h_c + ttdcea_c
51,DHAD2: 23dhmp_c --> 3mop_c + h2o_c
52,4HPRO_LTtm: 4hpro_LT_c --> 4hpro_LT_m
53,KARA2: 2ahbut_c + h_c + nadph_c --> 23dhmp_c + nadp_c
54,FBA: fdp_c <=> dhap_c + g3p_c
55,PYDXO: 2.0 h2o_c + nh4_c + 0.5 o2_c + pydx_c --> 2.0 h2o2_c + pydam_c
56,ACLSm: h_m + 2.0 pyr_m --> alac__S_m + co2_m
57,METGL: h2o_c + met__L_c --> 2obut_c + ch4s_c + nh4_c
58,SHK3Dr: 3dhsk_c + h_c + nadph_c <=> nadp_c + skm_c
59,GMPt6: gmp_e + h_e --> gmp_c + h_c
60,EHGLAT2m: e4hglu_m + oaa_m --> 4h2oglt_m + asp__L_m
61,HCO3E: co2_c + h2o_c --> h_c + hco3_c
62,GLYOX_2: h2o_c + lgt__S_c --> gthrd_c + h_c + lac__D_c + mthgxl_c
63,FldAct: fald_c + thf_c --> h2o_c + mlthf_c
64,PKETF: f6p_c + pi_c --> actp_c + e4p_c + h2o_c
65,ANPRT: anth_c + prpp_c --> ppi_c + pran_c
66,D_LACtm: h_c + lac__D_c --> h_m + lac__D_m
67,ALCD19: glyald_c + h_c + nadh_c --> glyc_c + nad_c
68,ARTPLM1: Rtotalcoa_c --> pmtcoa_c
69,TRPAS1: cys__L_c + h2o_c --> h2s_c + h_c + nh4_c + pyr_c
70,SHKK: atp_c + skm_c --> adp_c + h_c + skm5p_c
71,ARGSS: asp__L_c + atp_c + citr__L_c --> amp_c + argsuc_c + h_c + ppi_c
72,PGCD: 3pg_c + nad_c --> 3php_c + h_c + nadh_c
73,SULR_1: 3.0 h2o_c + h2s_c + 3.0 nadp_c --> 4.0 h_c + 3.0 nadph_c + so3_c
74,DAPDC: 26dap__M_c + h_c --> co2_c + lys__L_c
