,rxns_added
0,CO2tmt: co2_m <=> co2_c
1,RTOTALFATPc: Rtotal_e + atp_c + coa_c --> Rtotalcoa_c + amp_c + ppi_c
2,QMO3: mql8_c + 2.0 o2_c --> 2.0 h_c + mqn8_c + 2.0 o2s_c
3,4HBZFm: 4hbzcoa_m + h2o_m --> 4hbz_m + coa_m + h_m
4,ASPO6_1: asp__L_c + o2_c --> h2o2_c + iasp_c
5,34HPLtm: 34hpl_c + h_c --> 34hpl_m + h_m
6,CATm: 2.0 h2o2_m --> 2.0 h2o_m + o2_m
7,HMR_6782: 34hpp_c + h_c + nadh_c --> 34hpl_c + nad_c
8,4HBZCOAFm: coa_m + coucoa_m + h2o_m + nad_m --> 4hbzcoa_m + accoa_m + h_m + nadh_m
9,QULNS: dhap_c + iasp_c --> 2.0 h2o_c + pi_c + quln_c
10,CMPDAi: cmp_c + h2o_c + h_c --> nh4_c + ump_c
11,PHEMEtm: pheme_m <=> pheme_c
12,MI1PP: h2o_c + mi1p__D_c --> inost_c + pi_c
13,MI3PP: h2o_c + mi3p__D_c --> inost_c + pi_c
14,DROPPRy: 25dhpp_c + h_c + nadph_c --> 25dthpp_c + nadp_c
15,NNDPR: 2.0 h_c + prpp_c + quln_c --> co2_c + nicrnt_c + ppi_c
16,RBFSa: 4r5au_c + db4p_c --> dmlz_c + 2.0 h2o_c + pi_c
17,DB4PS: ru5p__D_c --> db4p_c + for_c + h_c
18,T4HCINNMFM: 34hpl_m --> T4hcinnm_m + h2o_m
19,GTPCII: gtp_c + 3.0 h2o_c --> 25dhpp_c + for_c + 2.0 h_c + ppi_c
20,RBFSb: 2.0 dmlz_c --> 4r5au_c + ribflv_c
21,OPHBDCm: 3ophb_m + h_m --> 2oph_m + co2_m
22,OCTDPtmt: octdp_m <=> octdp_c
23,COUCOAFm: T4hcinnm_m + atp_m + coa_m --> amp_m + coucoa_m + ppi_m
24,PMDPHT: 5aprbu_c + h2o_c --> 4r5au_c + pi_c
25,ASPO4_1: asp__L_c + mqn8_c --> iasp_c + mql8_c
