,rxns_added
0,DB4PS: ru5p__D_c --> db4p_c + for_c + h_c
1,OCTDPtmt: octdp_m <=> octdp_c
2,RBFSa: 4r5au_c + db4p_c --> dmlz_c + 2.0 h2o_c + pi_c
3,trna_phe: trnaphe_c <=> 
4,trna_asn: trnaasn_c <=> 
5,DHQS: 2dda7p_c --> 3dhq_c + pi_c
6,trna_tyr: trnatyr_c <=> 
7,TMPPP_1: 2mahmp_c + cthzp_c + 2.0 h_c --> co2_c + ppi_c + thmmp_c
8,AMPMS: air_c + h2o_c --> 4ampm_c + 2.0 for_c + 4.0 h_c
9,trna_asp: trnaasp_c <=> 
10,RTOTALFATPc: Rtotal_e + atp_c + coa_c --> Rtotalcoa_c + amp_c + ppi_c
11,PRAGSr: atp_c + gly_c + pram_c --> adp_c + gar_c + h_c + pi_c
12,T4HCINNMFM: 34hpl_m --> T4hcinnm_m + h2o_m
13,QMO2: 2.0 o2_c + q8h2_c --> 2.0 h_c + 2.0 o2s_c + q8_c
14,PRFGCL: atp_c + fpram_c --> adp_c + air_c + pi_c
15,GLYCOX1: gly_c + o2_c --> h2o2_c + imgly_c
16,THII: athis_c + iscssh_c + nadph_c --> amp_c + iscsh_c + nadp_c + thissh_c
17,trna_cys: trnacys_c <=> 
18,DROPPRx: 25dhpp_c + h_c + nadh_c --> 25dthpp_c + nad_c
19,OPHBDCm: 3ophb_m + h_m --> 2oph_m + co2_m
20,trna_gln: trnagln_c <=> 
21,trna_gly: trnagly_c <=> 
22,trna_met: trnamet_c <=> 
23,trna_trp: trnatrp_c <=> 
24,QULNS: dhap_c + iasp_c --> 2.0 h2o_c + pi_c + quln_c
25,CO2tmt: co2_m <=> co2_c
26,trna_leu: trnaleu_c <=> 
27,PHEMEtm: pheme_m <=> pheme_c
28,PKETF: f6p_c + pi_c --> actp_c + e4p_c + h2o_c
29,THISAT: atp_c + h_c + this_c --> athis_c + ppi_c
30,trna_pro: trnapro_c <=> 
31,trna_ala: trnaala_c <=> 
32,trna_lys: trnalys_c <=> 
33,GART: atp_c + for_c + gar_c --> adp_c + fgam_c + h_c + pi_c
34,MI1PP: h2o_c + mi1p__D_c --> inost_c + pi_c
35,RBFSb: 2.0 dmlz_c --> 4r5au_c + ribflv_c
36,NNDPR: 2.0 h_c + prpp_c + quln_c --> co2_c + nicrnt_c + ppi_c
37,GLUPRT: gln__L_c + h2o_c + prpp_c --> glu__L_c + ppi_c + pram_c
38,trna_ser: trnaser_c <=> 
39,MI3PP: h2o_c + mi3p__D_c --> inost_c + pi_c
40,trna_arg: trnaarg_c <=> 
41,CYSDES: cys__L_c + iscsh_c --> ala__L_c + h_c + iscssh_c
42,4HBZFm: 4hbzcoa_m + h2o_m --> 4hbz_m + coa_m + h_m
43,34HPLtm: 34hpl_c + h_c --> 34hpl_m + h_m
44,SHK3Dr: 3dhsk_c + h_c + nadph_c <=> nadp_c + skm_c
45,DCTPD2: ctp_c + h2o_c + h_c --> nh4_c + utp_c
46,PRFGS: atp_c + fgam_c + gln__L_c + h2o_c --> adp_c + fpram_c + glu__L_c + h_c + pi_c
47,HMR_6782: 34hpp_c + h_c + nadh_c --> 34hpl_c + nad_c
48,trna_val: trnaval_c <=> 
49,ASPO6: asp__L_c + o2_c --> h2o2_c + h_c + iasp_c
50,trna_thr: trnathr_c <=> 
51,4HBZCOAFm: coa_m + coucoa_m + h2o_m + nad_m --> 4hbzcoa_m + accoa_m + h_m + nadh_m
52,trna_his: trnahis_c <=> 
53,GTPCII: gtp_c + 3.0 h2o_c --> 25dhpp_c + for_c + 2.0 h_c + ppi_c
54,trna_ile: trnaile_c <=> 
55,DXYTST: dxyl5p_c + imgly_c + thissh_c --> 2c4mthzep_c + 2.0 h2o_c + h_c + this_c
56,THZT: 2c4mthzep_c --> cthzp_c
57,DDPA: e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c
58,PMDPHT: 5aprbu_c + h2o_c --> 4r5au_c + pi_c
59,COUCOAFm: T4hcinnm_m + atp_m + coa_m --> amp_m + coucoa_m + ppi_m
