,rxns_added
0,PMDPHT: 5aprbu_c + h2o_c --> 4r5au_c + pi_c
1,trna_ser: trnaser_c <=> 
2,trna_leu: trnaleu_c <=> 
3,CO2tmt: co2_m <=> co2_c
4,trna_gln: trnagln_c <=> 
5,trna_thr: trnathr_c <=> 
6,SHK3Dr: 3dhsk_c + h_c + nadph_c <=> nadp_c + skm_c
7,trna_ile: trnaile_c <=> 
8,RTOTALFATPc: Rtotal_e + atp_c + coa_c --> Rtotalcoa_c + amp_c + ppi_c
9,PHEMEtm: pheme_m <=> pheme_c
10,NNDPR: 2.0 h_c + prpp_c + quln_c --> co2_c + nicrnt_c + ppi_c
11,RBFSa: 4r5au_c + db4p_c --> dmlz_c + 2.0 h2o_c + pi_c
12,trna_cys: trnacys_c <=> 
13,T4HCINNMFM: 34hpl_m --> T4hcinnm_m + h2o_m
14,trna_arg: trnaarg_c <=> 
15,trna_phe: trnaphe_c <=> 
16,RBFSb_1: 2.0 dmlz_c --> 4r5au_c + h_c + ribflv_c
17,DDPA: e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c
18,OPHBDCm: 3ophb_m + h_m --> 2oph_m + co2_m
19,OCTDPtmt: octdp_m <=> octdp_c
20,trna_val: trnaval_c <=> 
21,DHQS: 2dda7p_c --> 3dhq_c + pi_c
22,CMPDAi: cmp_c + h2o_c + h_c --> nh4_c + ump_c
23,DB4PS: ru5p__D_c --> db4p_c + for_c + h_c
24,trna_asp: trnaasp_c <=> 
25,trna_asn: trnaasn_c <=> 
26,TALA: g3p_c + s7p_c --> e4p_c + f6p_c
27,GTPCII: gtp_c + 3.0 h2o_c --> 25dhpp_c + for_c + 2.0 h_c + ppi_c
28,DRTPPD: 25dthpp_c + h2o_c + h_c --> 5aprbu_c + nh4_c
29,trna_ala: trnaala_c <=> 
30,34HPLtm: 34hpl_c + h_c --> 34hpl_m + h_m
31,trna_his: trnahis_c <=> 
32,PKETF: f6p_c + pi_c --> actp_c + e4p_c + h2o_c
33,QULNS_1: dhap_c + iasp_c --> 2.0 h2o_c + h_c + pi_c + quln_c
34,O2tm: o2_c --> o2_m
35,DROPPRy: 25dhpp_c + h_c + nadph_c --> 25dthpp_c + nadp_c
36,trna_gly: trnagly_c <=> 
37,trna_pro: trnapro_c <=> 
38,trna_tyr: trnatyr_c <=> 
39,trna_lys: trnalys_c <=> 
40,MEPCT: 2me4p_c + ctp_c + h_c --> 4c2me_c + ppi_c
41,HMR_6782: 34hpp_c + h_c + nadh_c --> 34hpl_c + nad_c
42,COUCOAFm: T4hcinnm_m + atp_m + coa_m --> amp_m + coucoa_m + ppi_m
43,trna_trp: trnatrp_c <=> 
44,4HBZCOAFm: coa_m + coucoa_m + h2o_m + nad_m --> 4hbzcoa_m + accoa_m + h_m + nadh_m
45,trna_met: trnamet_c <=> 
46,ASPO2: asp__L_c + nad_c --> 2.0 h_c + iasp_c + nadh_c
47,4HBZFm: 4hbzcoa_m + h2o_m --> 4hbz_m + coa_m + h_m
