,rxns_added
0,QULNS_1: dhap_c + iasp_c --> 2.0 h2o_c + h_c + pi_c + quln_c
1,4HBZCOAFm: coa_m + coucoa_m + h2o_m + nad_m --> 4hbzcoa_m + accoa_m + h_m + nadh_m
2,PMDPHT: 5aprbu_c + h2o_c --> 4r5au_c + pi_c
3,CO2tmt: co2_m <=> co2_c
4,DB4PS: ru5p__D_c --> db4p_c + for_c + h_c
5,PHEMEtm: pheme_m <=> pheme_c
6,OCTDPtmt: octdp_m <=> octdp_c
7,RBFSb: 2.0 dmlz_c --> 4r5au_c + ribflv_c
8,DCTPD2: ctp_c + h2o_c + h_c --> nh4_c + utp_c
9,COUCOAFm: T4hcinnm_m + atp_m + coa_m --> amp_m + coucoa_m + ppi_m
10,SHK3Dr: 3dhsk_c + h_c + nadph_c <=> nadp_c + skm_c
11,RTOTALFATPc: Rtotal_e + atp_c + coa_c --> Rtotalcoa_c + amp_c + ppi_c
12,MI1PP: h2o_c + mi1p__D_c --> inost_c + pi_c
13,HMR_6782: 34hpp_c + h_c + nadh_c --> 34hpl_c + nad_c
14,NNDPR: 2.0 h_c + prpp_c + quln_c --> co2_c + nicrnt_c + ppi_c
15,GTPCII: gtp_c + 3.0 h2o_c --> 25dhpp_c + for_c + 2.0 h_c + ppi_c
16,TALA: g3p_c + s7p_c --> e4p_c + f6p_c
17,34HPLtm: 34hpl_c + h_c --> 34hpl_m + h_m
18,DDPA: e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c
19,4HBZFm: 4hbzcoa_m + h2o_m --> 4hbz_m + coa_m + h_m
20,RBFSa: 4r5au_c + db4p_c --> dmlz_c + 2.0 h2o_c + pi_c
21,T4HCINNMFM: 34hpl_m --> T4hcinnm_m + h2o_m
22,O2tmt: o2_m <=> o2_c
23,DHQS: 2dda7p_c --> 3dhq_c + pi_c
24,ASPO2: asp__L_c + nad_c --> 2.0 h_c + iasp_c + nadh_c
25,OPHBDCm: 3ophb_m + h_m --> 2oph_m + co2_m
26,DROPPRy: 25dhpp_c + h_c + nadph_c --> 25dthpp_c + nadp_c
