,rxns_added
0,GAT_c: acoa_c + dag_c --> coa_c + tag_c
1,4HBZtmt: 4hbz_m <=> 4hbz_c
2,5HBZIDS2: air_c --> 5hbzid_c + for_c + nh4_c + pi_c
3,LPLIPAL2ATG140: 2agpg140_c + pg140_c --> apg140_c + g3pg_c
4,DCTPD: dctp_c + h2o_c + h_c --> dutp_c + nh4_c
5,CHRPL: chor_c --> 4hbz_c + pyr_c
6,OCTDPtmt: octdp_m <=> octdp_c
7,DCTPD2: ctp_c + h2o_c + h_c --> nh4_c + utp_c
8,SMPD3l_host: h2o_c + sphmyln_hs_c --> cholp_c + crm_c + h_c
9,PRFGCL: atp_c + fpram_c --> adp_c + air_c + pi_c
10,2_7_8_3: cdpchol_c + crm_c + h_c --> cmp_c + sphmyln_c
11,PINOS: 0.01 cdpdag_c + inost_c --> cmp_c + h_c + 0.01 ptd1ino_c
12,PHEMEtm: pheme_m <=> pheme_c
13,PRFGS: atp_c + fgam_c + gln__L_c + h2o_c --> adp_c + fpram_c + glu__L_c + h_c + pi_c
14,MI3PP: h2o_c + mi3p__D_c --> inost_c + pi_c
15,NADK5: dttp_c + nad_c --> dtdp_c + h_c + nadp_c
16,PRAGSr: atp_c + gly_c + pram_c --> adp_c + gar_c + h_c + pi_c
17,OPHHXm: 2oph_m + nadph_m + 0.5 o2_m --> 2ohph_m + h2o_m + nadp_m
18,GLUPRT: gln__L_c + h2o_c + prpp_c --> glu__L_c + ppi_c + pram_c
19,5HBZIDMT: 5hbzid_c + 2.0 amet_c + nadph_c --> 2.0 ahcys_c + dmbzid_c + h2o_c + h_c + nadp_c
20,HBZOPTm: 4hbz_m + octdp_m --> 3ophb_m + 2.0 ppi_m
21,GART: atp_c + for_c + gar_c --> adp_c + fgam_c + h_c + pi_c
22,OPHBDCm: 3ophb_m + h_m --> 2oph_m + co2_m
23,FTHFLi: atp_c + for_c + thf_c --> 10fthf_c + adp_c + pi_c
