,rxns_added
0,T4HCINNMFM: 34hpl_m --> T4hcinnm_m + h2o_m
1,THISAT: atp_c + h_c + this_c --> athis_c + ppi_c
2,RBFSa: 4r5au_c + db4p_c --> dmlz_c + 2.0 h2o_c + pi_c
3,GLYCOX1: gly_c + o2_c --> h2o2_c + imgly_c
4,THII: athis_c + iscssh_c + nadph_c --> amp_c + iscsh_c + nadp_c + thissh_c
5,OPHBDCm: 3ophb_m + h_m --> 2oph_m + co2_m
6,MET_SLV: 5mtr1p_c --> met__L_c
7,CMPDAi: cmp_c + h2o_c + h_c --> nh4_c + ump_c
8,NNDPR: 2.0 h_c + prpp_c + quln_c --> co2_c + nicrnt_c + ppi_c
9,DHQS: 2dda7p_c --> 3dhq_c + pi_c
10,CYSDES: cys__L_c + iscsh_c --> ala__L_c + h_c + iscssh_c
11,AMPMS2: air_c + h2o_c + nad_c --> 4ampm_c + 2.0 for_c + 3.0 h_c + nadh_c
12,GLUPRT: gln__L_c + h2o_c + prpp_c --> glu__L_c + ppi_c + pram_c
13,ASPOcm_1: asp__L_c + fad_m --> fadh2_m + iasp_c
14,SHK3Dr: 3dhsk_c + h_c + nadph_c <=> nadp_c + skm_c
15,DB4PS: ru5p__D_c --> db4p_c + for_c + h_c
16,GTPCII: gtp_c + 3.0 h2o_c --> 25dhpp_c + for_c + 2.0 h_c + ppi_c
17,4HBZFm: 4hbzcoa_m + h2o_m --> 4hbz_m + coa_m + h_m
18,PRFGCL: atp_c + fpram_c --> adp_c + air_c + pi_c
19,PHEMEtm: pheme_m <=> pheme_c
20,THZT: 2c4mthzep_c --> cthzp_c
21,TMPPP_1: 2mahmp_c + cthzp_c + 2.0 h_c --> co2_c + ppi_c + thmmp_c
22,PMDPHT: 5aprbu_c + h2o_c --> 4r5au_c + pi_c
23,DDPA: e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c
24,ASPO6_1: asp__L_c + o2_c --> h2o2_c + iasp_c
25,DROPPRy: 25dhpp_c + h_c + nadph_c --> 25dthpp_c + nadp_c
26,PRFGS: atp_c + fgam_c + gln__L_c + h2o_c --> adp_c + fpram_c + glu__L_c + h_c + pi_c
27,34HPLtm: 34hpl_c + h_c --> 34hpl_m + h_m
28,QULNS: dhap_c + iasp_c --> 2.0 h2o_c + pi_c + quln_c
29,HMR_6782: 34hpp_c + h_c + nadh_c --> 34hpl_c + nad_c
30,TALA: g3p_c + s7p_c --> e4p_c + f6p_c
31,RBFSb: 2.0 dmlz_c --> 4r5au_c + ribflv_c
32,DXYTST: dxyl5p_c + imgly_c + thissh_c --> 2c4mthzep_c + 2.0 h2o_c + h_c + this_c
33,QMO2: 2.0 o2_c + q8h2_c --> 2.0 h_c + 2.0 o2s_c + q8_c
34,OCTDPtmt: octdp_m <=> octdp_c
35,PROTEIN_BS: 0.6 ala__L_c + 0.377 arg__L_c + 0.2881 asn__L_c + 0.359 asp__L_c + 0.145 cys__L_c + 0.322 gln__L_c + 0.386 glu__L_c + 0.538 gly_c + 0.143 his__L_c + 0.324 ile__L_c + 0.564 leu__L_c + 0.57 lys__L_c + 0.138 met__L_c + 0.219 phe__L_c + 0.313 pro__L_c + 0.43 ser__L_c + 0.386 thr__L_c + 0.044 trp__L_c + 0.182 tyr__L_c + 0.416 val__L_c --> protein_c
36,GART: atp_c + for_c + gar_c --> adp_c + fgam_c + h_c + pi_c
37,CO2tmt: co2_m <=> co2_c
38,4HBZCOAFm: coa_m + coucoa_m + h2o_m + nad_m --> 4hbzcoa_m + accoa_m + h_m + nadh_m
39,COUCOAFm: T4hcinnm_m + atp_m + coa_m --> amp_m + coucoa_m + ppi_m
40,PRAGSr: atp_c + gly_c + pram_c --> adp_c + gar_c + h_c + pi_c
