,rxns_added
0,trna_ile: trnaile_c <=> 
1,trna_tyr: trnatyr_c <=> 
2,DXYTST: dxyl5p_c + imgly_c + thissh_c --> 2c4mthzep_c + 2.0 h2o_c + h_c + this_c
3,trna_val: trnaval_c <=> 
4,QMO2: 2.0 o2_c + q8h2_c --> 2.0 h_c + 2.0 o2s_c + q8_c
5,THZT: 2c4mthzep_c --> cthzp_c
6,trna_his: trnahis_c <=> 
7,GARFT: 10fthf_c + gar_c --> fgam_c + h_c + thf_c
8,4HBZCOAFm: coa_m + coucoa_m + h2o_m + nad_m --> 4hbzcoa_m + accoa_m + h_m + nadh_m
9,trna_arg: trnaarg_c <=> 
10,ASPO6_1: asp__L_c + o2_c --> h2o2_c + iasp_c
11,DCTPD2: ctp_c + h2o_c + h_c --> nh4_c + utp_c
12,OPHBDCm: 3ophb_m + h_m --> 2oph_m + co2_m
13,TMPPP_1: 2mahmp_c + cthzp_c + 2.0 h_c --> co2_c + ppi_c + thmmp_c
14,TALA: g3p_c + s7p_c --> e4p_c + f6p_c
15,4HBZFm: 4hbzcoa_m + h2o_m --> 4hbz_m + coa_m + h_m
16,GTPCII: gtp_c + 3.0 h2o_c --> 25dhpp_c + for_c + 2.0 h_c + ppi_c
17,COUCOAFm: T4hcinnm_m + atp_m + coa_m --> amp_m + coucoa_m + ppi_m
18,DHQS: 2dda7p_c --> 3dhq_c + pi_c
19,HMR_6782: 34hpp_c + h_c + nadh_c --> 34hpl_c + nad_c
20,PKETF: f6p_c + pi_c --> actp_c + e4p_c + h2o_c
21,DROPPRy: 25dhpp_c + h_c + nadph_c --> 25dthpp_c + nadp_c
22,trna_cys: trnacys_c <=> 
23,OCTDPtmt: octdp_m <=> octdp_c
24,trna_lys: trnalys_c <=> 
25,CATm: 2.0 h2o2_m --> 2.0 h2o_m + o2_m
26,trna_gly: trnagly_c <=> 
27,trna_asp: trnaasp_c <=> 
28,RBFSb: 2.0 dmlz_c --> 4r5au_c + ribflv_c
29,trna_thr: trnathr_c <=> 
30,SHK3Dr: 3dhsk_c + h_c + nadph_c <=> nadp_c + skm_c
31,trna_trp: trnatrp_c <=> 
32,trna_leu: trnaleu_c <=> 
33,trna_pro: trnapro_c <=> 
34,PHEMEtm: pheme_m <=> pheme_c
35,CO2tmt: co2_m <=> co2_c
36,MET_SLV: 5mtr1p_c --> met__L_c
37,DDPA: e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c
38,PRFGCL: atp_c + fpram_c --> adp_c + air_c + pi_c
39,GLYCOX1: gly_c + o2_c --> h2o2_c + imgly_c
40,THISAT: atp_c + h_c + this_c --> athis_c + ppi_c
41,trna_asn: trnaasn_c <=> 
42,THII: athis_c + iscssh_c + nadph_c --> amp_c + iscsh_c + nadp_c + thissh_c
43,DB4PS: ru5p__D_c --> db4p_c + for_c + h_c
44,RBFSa: 4r5au_c + db4p_c --> dmlz_c + 2.0 h2o_c + pi_c
45,trna_phe: trnaphe_c <=> 
46,AMPMS2: air_c + h2o_c + nad_c --> 4ampm_c + 2.0 for_c + 3.0 h_c + nadh_c
47,PPRGL: atp_c + gly_c + pram_c --> adp_c + gar_c + 2.0 h_c + pi_c
48,trna_ala: trnaala_c <=> 
49,T4HCINNMFM: 34hpl_m --> T4hcinnm_m + h2o_m
50,trna_met: trnamet_c <=> 
51,QULNS: dhap_c + iasp_c --> 2.0 h2o_c + pi_c + quln_c
52,CYSDES: cys__L_c + iscsh_c --> ala__L_c + h_c + iscssh_c
53,PRFGS: atp_c + fgam_c + gln__L_c + h2o_c --> adp_c + fpram_c + glu__L_c + h_c + pi_c
54,trna_gln: trnagln_c <=> 
55,34HPLtm: 34hpl_c + h_c --> 34hpl_m + h_m
56,trna_ser: trnaser_c <=> 
57,PMDPHT: 5aprbu_c + h2o_c --> 4r5au_c + pi_c
58,NNDPR: 2.0 h_c + prpp_c + quln_c --> co2_c + nicrnt_c + ppi_c
59,GLUPRT: gln__L_c + h2o_c + prpp_c --> glu__L_c + ppi_c + pram_c
