,rxns_added
0,RBFSb: 2.0 dmlz_c --> 4r5au_c + ribflv_c
1,HMR_6782: 34hpp_c + h_c + nadh_c --> 34hpl_c + nad_c
2,trna_asn: trnaasn_c <=> 
3,PMDPHT: 5aprbu_c + h2o_c --> 4r5au_c + pi_c
4,trna_ala: trnaala_c <=> 
5,trna_leu: trnaleu_c <=> 
6,trna_gly: trnagly_c <=> 
7,trna_trp: trnatrp_c <=> 
8,T4HCINNMFM: 34hpl_m --> T4hcinnm_m + h2o_m
9,COUCOAFm: T4hcinnm_m + atp_m + coa_m --> amp_m + coucoa_m + ppi_m
10,OPHBDCm: 3ophb_m + h_m --> 2oph_m + co2_m
11,O2tm: o2_c --> o2_m
12,PHEMEtm: pheme_m <=> pheme_c
13,trna_val: trnaval_c <=> 
14,trna_lys: trnalys_c <=> 
15,GTPCII2: gtp_c + 3.0 h2o_c --> 25drapp_c + for_c + 2.0 h_c + ppi_c
16,trna_ser: trnaser_c <=> 
17,MEPCT: 2me4p_c + ctp_c + h_c --> 4c2me_c + ppi_c
18,34HPLtm: 34hpl_c + h_c --> 34hpl_m + h_m
19,ASPO2: asp__L_c + nad_c --> 2.0 h_c + iasp_c + nadh_c
20,trna_phe: trnaphe_c <=> 
21,NNDPR: 2.0 h_c + prpp_c + quln_c --> co2_c + nicrnt_c + ppi_c
22,trna_asp: trnaasp_c <=> 
23,OCTDPtmt: octdp_m <=> octdp_c
24,RBFSa: 4r5au_c + db4p_c --> dmlz_c + 2.0 h2o_c + pi_c
25,trna_pro: trnapro_c <=> 
26,SHK3Dr: 3dhsk_c + h_c + nadph_c <=> nadp_c + skm_c
27,trna_ile: trnaile_c <=> 
28,QULNS: dhap_c + iasp_c --> 2.0 h2o_c + pi_c + quln_c
29,4HBZFm: 4hbzcoa_m + h2o_m --> 4hbz_m + coa_m + h_m
30,trna_arg: trnaarg_c <=> 
31,CO2tmt: co2_m <=> co2_c
32,trna_tyr: trnatyr_c <=> 
33,DHPPDA2: 25drapp_c + h2o_c + h_c --> 5apru_c + nh4_c
34,DB4PS: ru5p__D_c --> db4p_c + for_c + h_c
35,DHQS: 2dda7p_c --> 3dhq_c + pi_c
36,trna_his: trnahis_c <=> 
37,trna_cys: trnacys_c <=> 
38,FBA3: s17bp_c --> dhap_c + e4p_c
39,RTOTALFATPc: Rtotal_e + atp_c + coa_c --> Rtotalcoa_c + amp_c + ppi_c
40,DDPA: e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c
41,APRAUR: 5apru_c + h_c + nadph_c --> 5aprbu_c + nadp_c
42,trna_thr: trnathr_c <=> 
43,DCTPD2: ctp_c + h2o_c + h_c --> nh4_c + utp_c
44,trna_met: trnamet_c <=> 
45,4HBZCOAFm: coa_m + coucoa_m + h2o_m + nad_m --> 4hbzcoa_m + accoa_m + h_m + nadh_m
46,trna_gln: trnagln_c <=> 
