,rxns_added
0,BIOMASS_Ecoli_core_w_GAM: 1.496 3pg_c + 3.7478 accoa_c + 59.81 atp_c + 0.361 e4p_c + 0.0709 f6p_c + 0.129 g3p_c + 0.205 g6p_c + 0.2557 gln__L_c + 4.9414 glu__L_c + 59.81 h2o_c + 3.547 nad_c + 13.0279 nadph_c + 1.7867 oaa_c + 0.5191 pep_c + 2.8328 pyr_c + 0.8977 r5p_c --> 59.81 adp_c + 4.1182 akg_c + 3.7478 coa_c + 59.81 h_c + 3.547 nadh_c + 13.0279 nadp_c + 59.81 pi_c
1,PGKh: 13dpg_h + adp_h --> 3pg_h + atp_h
2,TRPS1: 3ig3p_c + ser__L_c --> g3p_c + h2o_c + trp__L_c
3,trna_met: trnamet_c <=> 
4,G6PADHh: g6p_A_h + nadp_h --> 6pgl_h + h_h + nadph_h
5,PRAIi: pran_c --> 2cpr5p_c
6,DDPA: e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c
7,trna_gln: trnagln_c <=> 
8,KARA1im: alac__S_m + h_m + nadph_m --> 23dhmb_m + nadp_m
9,trna_arg: trnaarg_c <=> 
10,PHSERt_h: phom_h --> phom_c
11,trna_glu: trnaglu_c <=> 
12,ASPK_1: asp__L_h + atp_h --> 4pasp_h + adp_h
13,trna_his: trnahis_c <=> 
14,PSAT: 3php_h + glu__L_h --> akg_h + pser__L_h
15,GAPDHh: g3p_h + nad_h + pi_h --> 13dpg_h + h_h + nadh_h
16,PGDHh: 6pgc_h + nadp_h --> co2_h + nadph_h + ru5p__D_h
17,DHQTi: 3dhq_c --> 3dhsk_c + h2o_c
18,PGLh: 6pgl_h + h2o_h --> 6pgc_h + h_h
19,ANPRT: anth_c + prpp_c --> ppi_c + pran_c
20,H2Oth: h2o_c --> h2o_h
21,CHORM: chor_c --> pphn_c
22,trna_leu: trnaleu_c <=> 
23,PEPPIth: pep_c + pi_h --> pep_h + pi_c
24,SHK3Dr: 3dhsk_c + h_c + nadph_c <=> nadp_c + skm_c
25,PGLYDH: 3pg_h + nad_h --> 3php_h + h_h + nadh_h
26,THD1m: h_c + nadh_m + nadp_m --> h_m + nad_m + nadph_m
27,trna_cys: trnacys_c <=> 
28,trna_val: trnaval_c <=> 
29,GLUth: glu__L_h + h_h --> glu__L_c + h_c
30,GALh: atp_h + glu__L_h + nh4_h --> adp_h + gln__L_h + h_h + pi_h
31,trna_ile: trnaile_c <=> 
32,PKETF: f6p_c + pi_c --> actp_c + e4p_c + h2o_c
33,HISt2r: h_e + his__L_e <=> h_c + his__L_c
34,PPNDH: h_c + pphn_c --> co2_c + h2o_c + phpyr_c
35,GLNth: gln__L_c + h_c --> gln__L_h + h_h
36,ATPSu: 3.0 adp_c + 14.0 h_u + 3.0 pi_c --> 3.0 atp_c + 3.0 h2o_c + 11.0 h_c
37,trna_asn: trnaasn_c <=> 
38,trna_gly: trnagly_c <=> 
39,DHQS: 2dda7p_c --> 3dhq_c + pi_c
40,PYK_h: adp_h + h_h + pep_h --> atp_h + pyr_h
41,RBPCh: co2_h + h2o_h + rb15bp_h --> 2.0 3pg_h + 2.0 h_h
42,PFLh: coa_h + pyr_h --> accoa_h + for_h
43,VPAMTr: 3mob_c + ala__L_c --> pyr_c + val__L_c
44,DHAD1m: 23dhmb_m --> 3mob_m + h2o_m
45,trna_thr: trnathr_c <=> 
46,GLUS: akg_h + gln__L_h + h_h + nadh_h --> 2.0 glu__L_h + nad_h
47,PSCVT: pep_c + skm5p_c <=> 3psme_c + pi_c
48,trna_asp: trnaasp_c <=> 
49,ACSERthi: acser_h --> acser_c
50,FORthi: for_h + h_h --> for_c + h_c
51,trna_ser: trnaser_c <=> 
52,GMPt6: gmp_e + h_e --> gmp_c + h_c
53,ALAALACNc: alaala_c + h2o_c --> 2.0 ala__L_c
54,G6PA_pi_th: g6p_A_c + pi_h --> g6p_A_h + pi_c
55,trna_phe: trnaphe_c <=> 
56,PIt_h: h_c + pi_c --> h_h + pi_h
57,SAT: accoa_h + ser__L_h --> acser_h + coa_h
58,r2042: gln__L_c + his__L_e --> gln__L_e + his__L_c
59,SHKK: atp_c + skm_c --> adp_c + h_c + skm5p_c
60,trna_trp: trnatrp_c <=> 
61,GMPR: gmp_c + 2.0 h_c + nadph_c --> imp_c + nadp_c + nh4_c
62,ASADH: 4pasp_h + h_h + nadph_h --> aspsa_h + nadp_h + pi_h
63,HSK_1: atp_h + hom__L_h --> adp_h + h_h + phom_h
64,HSDH_h: aspsa_h + h_h + nadh_h --> hom__L_h + nad_h
65,trna_ala: trnaala_c <=> 
66,CHORS: 3psme_c --> chor_c + pi_c
67,trna_pro: trnapro_c <=> 
68,PSP: h2o_h + pser__L_h --> pi_h + ser__L_h
69,EX_his__L_e: his__L_e <=> 
70,Htu: h_h --> h_u
71,trna_tyr: trnatyr_c <=> 
72,trna_lys: trnalys_c <=> 
73,3MOBtmt: 3mob_m <=> 3mob_c
74,THRAL: ser__L_h --> nh4_h + pyr_h
75,PRUK_1: atp_h + ru5p__D_h --> adp_h + h_h + rb15bp_h
76,ANS2: chor_c + nh4_c --> anth_c + h2o_c + h_c + pyr_c
77,ASPth: asp__L_c + h_c --> asp__L_h + h_h
78,IGPS: 2cpr5p_c + h_c --> 3ig3p_c + co2_c + h2o_c
79,ACLSm: h_m + 2.0 pyr_m --> alac__S_m + co2_m
80,CO2tmt: co2_m <=> co2_c
81,G3P_pi_thr: g3p_c + pi_h --> g3p_h + pi_c
